rank,pathway,target_underexplored_context,most_developed_context,negative_space_priority_index,translational_hypothesis,safety_gate,starter_models
1,Integrin/Src,cardiac_repair,tumor_metastasis,12.19,Repurpose tumor organotropism logic (integrin-coded tropism and integrin–Src signaling) to improve EV homing/retention in injured myocardium and to tune endothelial–cardiomyocyte repair signaling without triggering pro-invasive programs.,"Gate pro-fibrotic remodeling, aberrant angiogenesis, and pro-migratory/invasive signaling; require absence of oncogenic cargo and no increase in fibroblast activation markers.",In vitro: human iPSC-cardiomyocytes + cardiac fibroblasts + endothelial barrier assays; In vivo: mouse MI and ischemia–reperfusion with biodistribution + fibrosis/arrhythmia readouts.
2,Autophagy,cardiac_repair,neurodegeneration,5.61,"Transfer EV-mediated autophagy/mitophagy modulation strategies from neurodegeneration models to cardiomyocyte stress tolerance after ischemia–reperfusion, focusing on dose/timing to avoid autophagic cell death.","Gate excessive autophagy/mitophagy (cell death), maladaptive remodeling, and arrhythmogenic effects; confirm net improvement in viability/function in cardiomyocytes and no fibrosis amplification.",In vitro: hypoxia/reoxygenation in iPSC-cardiomyocytes; In vivo: mouse I/R and MI with autophagy flux reporters (LC3/p62) and functional echo endpoints.
3,TGF-beta,cardiac_repair,tumor_metastasis,3.69,Leverage metastasis-mature EV control of TGF-β/SMAD programs to modulate post-MI fibrosis and scar quality while preserving necessary wound-healing signaling.,"Gate impaired scar formation/rupture risk, immune suppression, and pro-EMT/pro-fibrotic drift; require balanced collagen deposition and preserved ventricular integrity.","In vitro: cardiac fibroblast activation and endothelial–mesenchymal transition assays; In vivo: mouse MI with histology for scar thickness, collagen organization, and function."
4,Wnt,cardiac_repair,tumor_metastasis,3.21,"Translate controlled Wnt/β-catenin EV signaling from tumor biology to cardiac repair, testing whether transient activation (or inhibition) improves angiogenesis and cardiomyocyte survival without oncogenic-like remodeling.","Gate uncontrolled proliferation, arrhythmogenic remodeling, and fibrosis; predefine acceptable ranges of β-catenin activation and vascular density.",In vitro: iPSC-cardiomyocytes and endothelial tube formation with Wnt reporters; In vivo: MI/I-R models with ECG/arrhythmia monitoring and vascular/fibrosis readouts.
5,Hypoxia/HIF-1,neurodegeneration,tumor_metastasis,3.05,"Transfer hypoxia/HIF-1–programmed EV cargo concepts from metastasis to neurodegeneration, targeting neurovascular protection and ferroptosis/oxidative-stress resistance while avoiding pro-angiogenic pathology.","Gate BBB leak, maladaptive angiogenesis, and inflammation; require improved neuronal survival with stable vascular permeability and no edema/hemorrhage signals.",In vitro: neuron–glia co-cultures under oxidative stress/ferroptosis induction; In vivo: AD/PD models with behavioral + BBB integrity assays.
6,mTOR,cardiac_repair,tumor_metastasis,1.5,"Evaluate whether PI3K–AKT–mTOR survival signaling carried by EVs can be harnessed for cardioprotection, and define when pathway activation becomes maladaptive (hypertrophy/remodeling).","Gate pathological hypertrophy, metabolic derangement, and oncogenic signaling signatures; require dose-limited, time-restricted activation with functional benefit.",In vitro: iPSC-cardiomyocyte hypertrophy assays + metabolic flux; In vivo: MI/I-R with hypertrophy markers and long-term remodeling follow-up.
7,Complement,cardiac_repair,neurodegeneration,0.0,Test whether EV-associated complement modulation observed in neurodegeneration can be leveraged to reduce reperfusion injury in cardiac repair without compromising host defense.,Gate infection susceptibility and impaired clearance; monitor complement activation markers and systemic inflammatory consequences.,In vitro: cardiomyocyte/endothelial injury models with complement activation readouts; In vivo: I/R with infarct size + complement biomarkers.
8,NF-kB,cardiac_repair,tumor_metastasis,0.0,Translate EV-mediated tuning of NF-κB inflammatory programs from metastasis literature to optimize post-MI inflammation resolution and repair timing.,"Gate immune suppression, delayed healing, and off-target systemic inflammation; require preserved early debris clearance with accelerated resolution phase.",In vitro: macrophage polarization and endothelial activation assays; In vivo: MI with immunophenotyping time course + function.
9,Notch,cardiac_repair,tumor_metastasis,0.0,"Assess whether EV-mediated Notch/Jagged signaling can be repurposed to enhance reparative angiogenesis and cardiomyocyte survival post-injury, while avoiding maladaptive vascular/fibrotic remodeling.",Gate aberrant vascular patterning and fibrosis; quantify Notch activation windows and downstream target expression.,In vitro: endothelial Notch reporter and sprouting assays; In vivo: MI with vascular density and fibrosis endpoints.
10,Sphingolipid/Ceramide,cardiac_repair,neurodegeneration,0.0,Explore whether EV sphingolipid/ceramide programs prominent in neurodegeneration can inform cardiomyocyte stress resistance and apoptosis control in cardiac repair.,Gate pro-apoptotic ceramide accumulation and inflammatory lipid signaling; require net reduction in cell death and no systemic lipid toxicity.,In vitro: ceramide flux + apoptosis assays in cardiomyocytes; In vivo: I/R with cell-death markers and lipidomic spot checks.
