pathway,tumor_metastasis_count,cardiac_repair_count,neurodegeneration_count,tumor_attention,cardiac_attention,neuro_attention,max_context,min_context,max_to_min_ratio,contexts_ge100,negative_space_priority_index
Integrin/Src,255,6,31,Moderate,Low,Low,tumor_metastasis,cardiac_repair,36.57,1,12.19
Autophagy,220,50,428,Moderate,Low,Moderate,neurodegeneration,cardiac_repair,8.41,2,5.61
TGF-beta,143,12,17,Moderate,Low,Low,tumor_metastasis,cardiac_repair,11.08,1,3.69
Wnt,201,20,37,Moderate,Low,Low,tumor_metastasis,cardiac_repair,9.62,1,3.21
Hypoxia/HIF-1,278,133,60,Moderate,Moderate,Low,tumor_metastasis,neurodegeneration,4.57,2,3.05
mTOR,301,66,87,Moderate,Low,Low,tumor_metastasis,cardiac_repair,4.51,1,1.5
Complement,58,17,71,Low,Low,Low,neurodegeneration,cardiac_repair,4.0,0,0.0
NF-kB,65,13,23,Low,Low,Low,tumor_metastasis,cardiac_repair,4.71,0,0.0
Notch,59,9,12,Low,Low,Low,tumor_metastasis,cardiac_repair,6.0,0,0.0
Sphingolipid/Ceramide,39,13,90,Low,Low,Low,neurodegeneration,cardiac_repair,6.5,0,0.0
