run_date,mindate,maxdate,pathway,context,count,query
2026-02-15,2015/01/01,2026/02/15,mTOR,neurodegeneration,87,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (mTOR OR PI3K OR AKT)"
2026-02-15,2015/01/01,2026/02/15,mTOR,tumor_metastasis,301,(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (mTOR OR PI3K OR AKT)
2026-02-15,2015/01/01,2026/02/15,mTOR,cardiac_repair,66,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (mTOR OR PI3K OR AKT)
2026-02-15,2015/01/01,2026/02/15,Wnt,neurodegeneration,37,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (Wnt OR beta-catenin OR CTNNB1)"
2026-02-15,2015/01/01,2026/02/15,Wnt,tumor_metastasis,201,(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (Wnt OR beta-catenin OR CTNNB1)
2026-02-15,2015/01/01,2026/02/15,Wnt,cardiac_repair,20,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Wnt OR beta-catenin OR CTNNB1)
2026-02-15,2015/01/01,2026/02/15,Notch,neurodegeneration,12,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (Notch OR NOTCH1)"
2026-02-15,2015/01/01,2026/02/15,Notch,tumor_metastasis,59,(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (Notch OR NOTCH1)
2026-02-15,2015/01/01,2026/02/15,Notch,cardiac_repair,9,(extracellular vesicle OR exosome OR exosomes) AND ((myocardial infarction OR ischemia-reperfusion OR heart failure OR cardiac injury) AND (repair OR regeneration OR cardioprotection OR post-infarction)) AND (Notch OR NOTCH1)
2026-02-15,2015/01/01,2026/02/15,NF-kB,neurodegeneration,23,"(extracellular vesicle OR exosome OR exosomes) AND (neurodegeneration OR neurodegenerative OR Alzheimer OR Parkinson OR ""amyotrophic lateral sclerosis"" OR ALS OR frontotemporal dementia OR Huntington) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
2026-02-15,2015/01/01,2026/02/15,NF-kB,tumor_metastasis,65,"(extracellular vesicle OR exosome OR exosomes) AND ((cancer OR tumor OR tumour) AND (metastasis OR metastatic OR premetastatic OR organotropism OR dissemination)) AND (""NF-kappa B"" OR NF-kB OR NFKB1)"
