cargo_type,candidate,pathway,scheme,score,rank
Protein,CD63,Autophagy,baseline,91.935196,1
Protein,CD81,Autophagy,baseline,87.15393,2
Protein,AKT1,mTOR,baseline,86.544399,3
Protein,CTNNB1,Wnt,baseline,86.213687,4
RNA,miR-21,TGF-beta,baseline,85.028894,5
Protein,PDCD6IP,Autophagy,baseline,84.756827,6
Protein,TSG101,Autophagy,baseline,84.542551,7
Protein,CAV1,Integrin/Src,baseline,82.8156,8
Protein,MTOR,mTOR,baseline,81.444324,9
Protein,TGFB1,TGF-beta,baseline,77.183746,10
Protein,NFKB1,NF-kB,baseline,76.891777,11
RNA,miR-143-3p,Autophagy,baseline,75.641349,12
RNA,miR-133a-3p,TGF-beta,baseline,74.882153,13
Protein,C3,Complement,baseline,74.605702,14
RNA,miR-126,Wnt,baseline,74.530233,15
RNA,miR-124-3p,mTOR,baseline,74.318254,16
RNA,miR-210-3p,Hypoxia/HIF-1,baseline,74.301075,17
RNA,miR-122,Integrin/Src,baseline,73.694785,18
RNA,miR-181a-5p,Autophagy,baseline,72.611951,19
Protein,HIF1A,Hypoxia/HIF-1,baseline,71.107604,20
RNA,miR-30d,Integrin/Src,baseline,67.450696,21
Protein,ITGA6,Integrin/Src,baseline,66.721091,22
Protein,C5,Complement,baseline,65.484777,23
Protein,TGFBR2,TGF-beta,baseline,64.323039,24
Protein,WNT5A,Wnt,baseline,63.906417,25
Protein,ITGB4,Integrin/Src,baseline,62.247948,26
Protein,ITGB2,Integrin/Src,baseline,55.759428,27
Protein,GPR143,Integrin/Src,baseline,52.548082,28
RNA,miR-105,Integrin/Src,baseline,51.134431,29
RNA,miR-29,TGF-beta,baseline,50.771776,30
RNA,miR-934,mTOR,baseline,48.46767,31
Protein,CD63,Autophagy,equal,89.690848,1
Protein,AKT1,mTOR,equal,85.963507,2
Protein,CD81,Autophagy,equal,84.048066,3
Protein,CTNNB1,Wnt,equal,83.616916,4
RNA,miR-21,TGF-beta,equal,82.963096,5
Protein,PDCD6IP,Autophagy,equal,80.135675,6
Protein,TSG101,Autophagy,equal,79.667971,7
Protein,CAV1,Integrin/Src,equal,79.038838,8
Protein,MTOR,mTOR,equal,78.496609,9
Protein,NFKB1,NF-kB,equal,73.352607,10
Protein,TGFB1,TGF-beta,equal,73.310807,11
RNA,miR-124-3p,mTOR,equal,72.546616,12
RNA,miR-143-3p,Autophagy,equal,71.586798,13
RNA,miR-133a-3p,TGF-beta,equal,70.796927,14
RNA,miR-126,Wnt,equal,70.13727,15
RNA,miR-210-3p,Hypoxia/HIF-1,equal,69.501641,16
RNA,miR-122,Integrin/Src,equal,68.812938,17
Protein,C3,Complement,equal,68.346156,18
RNA,miR-181a-5p,Autophagy,equal,66.908978,19
Protein,HIF1A,Hypoxia/HIF-1,equal,66.27333,20
RNA,miR-30d,Integrin/Src,equal,62.759341,21
Protein,ITGA6,Integrin/Src,equal,59.457338,22
Protein,TGFBR2,TGF-beta,equal,58.870739,23
Protein,WNT5A,Wnt,equal,58.231134,24
Protein,C5,Complement,equal,57.228445,25
Protein,ITGB4,Integrin/Src,equal,54.318622,26
Protein,ITGB2,Integrin/Src,equal,49.448165,27
RNA,miR-29,TGF-beta,equal,47.457567,28
Protein,GPR143,Integrin/Src,equal,45.238465,29
RNA,miR-105,Integrin/Src,equal,43.07345,30
RNA,miR-934,mTOR,equal,40.940041,31
Protein,CD63,Autophagy,exocarta_heavy,92.101666,1
Protein,CD81,Autophagy,exocarta_heavy,87.073322,2
Protein,PDCD6IP,Autophagy,exocarta_heavy,85.12971,3
Protein,CTNNB1,Wnt,exocarta_heavy,85.035634,4
Protein,TSG101,Autophagy,exocarta_heavy,85.015722,5
Protein,AKT1,mTOR,exocarta_heavy,83.586162,6
RNA,miR-21,TGF-beta,exocarta_heavy,83.408906,7
Protein,CAV1,Integrin/Src,exocarta_heavy,82.170447,8
Protein,MTOR,mTOR,exocarta_heavy,79.23904,9
Protein,TGFB1,TGF-beta,exocarta_heavy,74.918064,10
Protein,NFKB1,NF-kB,exocarta_heavy,74.198129,11
Protein,C3,Complement,exocarta_heavy,73.920056,12
RNA,miR-143-3p,Autophagy,exocarta_heavy,73.888177,13
RNA,miR-133a-3p,TGF-beta,exocarta_heavy,73.115833,14
RNA,miR-124-3p,mTOR,exocarta_heavy,72.684208,15
RNA,miR-126,Wnt,exocarta_heavy,72.482867,16
RNA,miR-210-3p,Hypoxia/HIF-1,exocarta_heavy,72.144856,17
RNA,miR-122,Integrin/Src,exocarta_heavy,72.101317,18
RNA,miR-181a-5p,Autophagy,exocarta_heavy,71.284497,19
Protein,HIF1A,Hypoxia/HIF-1,exocarta_heavy,67.963577,20
Protein,ITGA6,Integrin/Src,exocarta_heavy,67.677048,21
RNA,miR-30d,Integrin/Src,exocarta_heavy,67.082718,22
Protein,C5,Complement,exocarta_heavy,65.049724,23
Protein,TGFBR2,TGF-beta,exocarta_heavy,63.539858,24
Protein,ITGB4,Integrin/Src,exocarta_heavy,63.046428,25
Protein,WNT5A,Wnt,exocarta_heavy,63.002403,26
Protein,ITGB2,Integrin/Src,exocarta_heavy,56.434236,27
Protein,GPR143,Integrin/Src,exocarta_heavy,52.794075,28
RNA,miR-105,Integrin/Src,exocarta_heavy,51.375845,29
RNA,miR-934,mTOR,exocarta_heavy,47.642379,30
RNA,miR-29,TGF-beta,exocarta_heavy,42.194653,31
Protein,CD63,Autophagy,breadth_heavy,91.602255,1
Protein,AKT1,mTOR,breadth_heavy,88.023517,2
Protein,CD81,Autophagy,breadth_heavy,86.543374,3
Protein,CTNNB1,Wnt,breadth_heavy,86.320293,4
RNA,miR-21,TGF-beta,breadth_heavy,85.345821,5
Protein,PDCD6IP,Autophagy,breadth_heavy,83.588488,6
