ev_clause_label,pathway,cardiac_repair,neurodegeneration,tumor_metastasis,contexts_ge100,smoothed_ratio,priority_index,rank
current_baseline,Integrin/Src,6,31,255,1,36.57142857142857,12.19047619047619,1
current_baseline,Autophagy,50,428,220,2,8.411764705882353,5.607843137254902,2
current_baseline,TGF-beta,12,17,143,1,11.076923076923077,3.692307692307692,3
current_baseline,Wnt,20,37,201,1,9.619047619047619,3.206349206349206,4
current_baseline,Hypoxia/HIF-1,133,60,278,2,4.573770491803279,3.0491803278688523,5
current_baseline,mTOR,66,87,301,1,4.507462686567164,1.5024875621890548,6
current_baseline,Complement,17,71,58,0,4.0,0.0,7
current_baseline,NF-kB,13,23,65,0,4.714285714285714,0.0,8
current_baseline,Notch,9,12,59,0,6.0,0.0,9
current_baseline,Sphingolipid/Ceramide,13,90,39,0,6.5,0.0,10
expanded_ev,Integrin/Src,7,28,249,1,31.25,10.416666666666666,1
expanded_ev,Autophagy,50,389,209,2,7.647058823529412,5.098039215686274,2
expanded_ev,TGF-beta,12,18,143,1,11.076923076923077,3.692307692307692,3
expanded_ev,Wnt,20,36,201,1,9.619047619047619,3.206349206349206,4
expanded_ev,Hypoxia/HIF-1,133,59,282,2,4.716666666666667,3.1444444444444444,5
expanded_ev,mTOR,66,84,301,1,4.507462686567164,1.5024875621890548,6
expanded_ev,Complement,17,71,58,0,4.0,0.0,7
expanded_ev,NF-kB,13,22,67,0,4.857142857142857,0.0,8
expanded_ev,Notch,9,11,59,0,6.0,0.0,9
expanded_ev,Sphingolipid/Ceramide,13,89,40,0,6.428571428571429,0.0,10
legacy_exosome,Integrin/Src,3,13,148,1,37.25,12.416666666666666,1
legacy_exosome,Autophagy,34,270,147,2,7.742857142857143,5.161904761904761,2
legacy_exosome,Wnt,14,22,166,1,11.133333333333333,3.711111111111111,3
legacy_exosome,Hypoxia/HIF-1,91,36,219,1,5.945945945945946,1.9819819819819817,4
legacy_exosome,mTOR,48,57,221,1,4.530612244897959,1.510204081632653,5
legacy_exosome,Complement,10,44,33,0,4.090909090909091,0.0,6
legacy_exosome,NF-kB,10,11,43,0,4.0,0.0,7
legacy_exosome,Notch,5,6,47,0,8.0,0.0,8
legacy_exosome,Sphingolipid/Ceramide,12,59,27,0,4.615384615384615,0.0,9
legacy_exosome,TGF-beta,11,11,99,0,8.333333333333334,0.0,10
umbrella_ev,Integrin/Src,3,18,136,1,34.25,11.416666666666666,1
umbrella_ev,Autophagy,22,191,98,1,8.347826086956522,2.782608695652174,2
umbrella_ev,Hypoxia/HIF-1,56,27,104,1,3.75,1.25,3
umbrella_ev,Complement,8,37,31,0,4.222222222222222,0.0,4
umbrella_ev,NF-kB,3,13,27,0,7.0,0.0,5
umbrella_ev,Notch,4,6,15,0,3.2,0.0,6
umbrella_ev,Sphingolipid/Ceramide,2,53,24,0,18.0,0.0,7
umbrella_ev,TGF-beta,1,10,61,0,31.0,0.0,8
umbrella_ev,Wnt,6,20,61,0,8.857142857142858,0.0,9
umbrella_ev,mTOR,21,36,96,0,4.409090909090909,0.0,10
