pmid,pathway,context,title,relevance_score,screen_decision,abstract
29434374,mTOR,neurodegeneration,Reactive oxygen species regulate axonal regeneration through the release of exosomal NADPH oxidase 2 complexes into injured axons.,4,include_primary_high,"Reactive oxygen species (ROS) contribute to tissue damage and remodelling mediated by the inflammatory response after injury. Here we show that ROS, which promote axonal dieback and degeneration after injury, are also required for axonal regeneration and functional recovery after spinal injury. We find that ROS production in the injured sciatic nerve and dorsal root ganglia requires CX3CR1-dependent recruitment of inflammatory cells. Next, exosomes containing functional NADPH oxidase 2 complexes are released from macrophages and incorporated into injured axons via endocytosis. Once in axonal endosomes, active NOX2 is retrogradely transported to the cell body through an importin-β1-dynein-dependent mechanism. Endosomal NOX2 oxidizes PTEN, which leads to its inactivation, thus stimulating PI3K-phosporylated (p-)Akt signalling and regenerative outgrowth. Challenging the view that ROS are exclusively involved in nerve degeneration, we propose a previously unrecognized role of ROS in mammalian axonal regeneration through a NOX2-PI3K-p-Akt signalling pathway."
29700113,mTOR,neurodegeneration,Autophagy regulates exosomal release of prions in neuronal cells.,2,include_contextual,Prions are protein-based infectious agents that autocatalytically convert the cellular prion protein PrP
37957914,mTOR,neurodegeneration,The miR-210 Primed Endothelial Progenitor Cell Exosomes Alleviate Acute Ischemic Brain Injury.,4,include_primary_high,"Stem cell-released exosomes (EXs) have shown beneficial effects on regenerative diseases. Our previous study has revealed that EXs of endothelial progenitor cells (EPC-EXs) can elicit favorable effects on endothelial function. EXs may vary greatly in size, composition, and cargo uptake rate depending on the origins and stimulus; notably, EXs are promising vehicles for delivering microRNAs (miRs). Since miR-210 is known to protect cerebral endothelial cell mitochondria by reducing oxidative stress, here we study the effects of miR-210-loaded EPC-EXs (miR210-EPC-EXs) on ischemic brain damage in acute ischemic stroke (IS). The miR210-EPC-EXs were generated from EPCs transfected with miR-210 mimic. Middle cerebral artery occlusion (MCAO) surgery was performed to induce acute IS in C57BL/6 mice. EPC-EXs or miR210-EPC-EXs were administrated via tail vein injection 2 hrs after IS. To explore the potential mechanisms, inhibitors of the vascular endothelial growth factor receptor 2 (VEGFR2)/PI3 kinase (PI3K) or tyrosine receptor kinase B (TrkB)/PI3k pathways were used. The brain tissue was collected after treatments for infarct size, cell apoptosis, oxidative stress, and protein expression (VEGFR2, TrkB) analyses on day two. The neurological deficit score (NDS) was evaluated before collecting the samples. 1) As compared to EPC-EXs, miR210-EPC-EXs profoundly reduced the infarct volume and improved the NDS on day two post-IS. 2) Fewer apoptosis cells were detected in the peri-infarct brain of mice treated with miR210-EPC-EXs than in EPC-EXs-treated mice. Meanwhile, the oxidative stress was profoundly reduced by miR210-EPC-EXs. 3) The ratios of p-PI3k/PI3k, p- VEGFR2/VEGFR2, and p-TrkB/TrkB in the ipsilateral brain were raised by miR210-EPC-EXs treatment. These effects could be significantly blocked or partially inhibited by PI3k, VEGFR2, or TrkB pathway inhibitors. These findings suggest that miR210-EPC-EXs protect the brain from acute ischemia- induced cell apoptosis and oxidative stress partially through the VEGFR2/PI3k and TrkB/PI3k signal pathways."
27392863,mTOR,neurodegeneration,Amyloid-β Reduces Exosome Release from Astrocytes by Enhancing JNK Phosphorylation.,3,include_contextual,"Exosomes are small extracellular vesicles secreted by variety of cell types such as neurons, astrocytes, and oligodendrocytes. It is suggested that exosomes play essential role in the maintenance of the neuronal functions and also in the clearance of amyloid-β (Aβ) from the brain. Aβ is well known to cause neuronal cell death, whereas little is known about its effect on astrocytes. In this study, we examined the effect of Aβ on release of exosomes from astrocytes in culture. We analyzed release of exosomes and apoE, both of which are known to remove/clear Aβ from the brain, in the culture medium of astrocytes. We found that exosome and apoE-HDL were successfully separated by density gradient ultracentrifugation demonstrated by distribution of their specific markers, flotillin and HSP90, and cholesterol, and morphological analysis using electron microscopy. Exosome release was significantly reduced by Aβ1-42 treatment in cultured astrocytes accompanied by an increased JNK phosphorylation. Whereas, apoE-HDL release remained unchanged. A JNK inhibitor restored the decreased levels of exosome release induced by Aβ treatment to levels similar to those of control, suggesting that Aβ1-42 inhibits exosome release via stimulation of JNK signal pathway. Because exosomes are shown to remove Aβ in the brain, our findings suggest that increased Aβ levels in the brain may impair the exosome-mediated Aβ clearance pathway."
35022057,mTOR,neurodegeneration,Extracellular vesicles derived from glioblastoma promote proliferation and migration of neural progenitor cells via PI3K-Akt pathway.,4,include_primary_high,"Glioblastomas are lethal brain tumors under the current combinatorial therapeutic strategy that includes surgery, chemo- and radio-therapies. Extensive changes in the tumor microenvironment is a key reason for resistance to chemo- or radio-therapy and frequent tumor recurrences. Understanding the tumor-nontumor cell interaction in TME is critical for developing new therapy. Glioblastomas are known to recruit normal cells in their environs to sustain growth and encroachment into other regions. Neural progenitor cells (NPCs) have been noted to migrate towards the site of glioblastomas, however, the detailed mechanisms underlying glioblastoma-mediated NPCs' alteration remain unkown. We collected EVs in the culture medium of three classic glioblastoma cell lines, U87 and A172 (male cell lines), and LN229 (female cell line). U87, A172, and LN229 were co-cultured with their corresponding EVs, respectively. Mouse NPCs (mNPCs) were co-cultured with glioblastoma-derived EVs. The proliferation and migration of tumor cells and mNPCs after EVs treatment were examined. Proteomic analysis and western blotting were utilized to identify the underlying mechanisms of glioblastoma-derived EVs-induced alterations in mNPCs. We first show that glioblastoma cell lines U87-, A172-, and LN229-derived EVs were essential for glioblastoma cell prolifeartion and migration. We then demonstrated that glioblastoma-derived EVs dramatically promoted NPC proliferation and migration. Mechanistic studies identify that glioblastoma-derived EVs achieve their functions via activating PI3K-Akt-mTOR pathway in mNPCs. Inhibiting PI3K-Akt pathway reversed the elevated prolfieration and migration of glioblastoma-derived EVs-treated mNPCs. Our findings demonstrate that EVs play a key role in intercellular communication in tumor microenvironment. Inhibition of the tumorgenic EVs-mediated PI3K-Akt-mTOR pathway activation might be a novel strategy to shed light on glioblastoma therapy. Video Abstract."
37108817,Wnt,neurodegeneration,Inflammatory Response and Exosome Biogenesis of Choroid Plexus Organoids Derived from Human Pluripotent Stem Cells.,4,include_primary_high,"The choroid plexus (ChP) is a complex structure in the human brain that is responsible for the secretion of cerebrospinal fluid (CSF) and forming the blood-CSF barrier (B-CSF-B). Human-induced pluripotent stem cells (hiPSCs) have shown promising results in the formation of brain organoids in vitro; however, very few studies to date have generated ChP organoids. In particular, no study has assessed the inflammatory response and the extracellular vesicle (EV) biogenesis of hiPSC-derived ChP organoids. In this study, the impacts of Wnt signaling on the inflammatory response and EV biogenesis of ChP organoids derived from hiPSCs was investigated. During days 10-15, bone morphogenetic protein 4 was added along with (+/-) CHIR99021 (CHIR, a small molecule GSK-3β inhibitor that acts as a Wnt agonist). At day 30, the ChP organoids were characterized by immunocytochemistry and flow cytometry for TTR (~72%) and CLIC6 (~20%) expression. Compared to the -CHIR group, the +CHIR group showed an upregulation of 6 out of 10 tested ChP genes, including"
28954226,Wnt,neurodegeneration,Intra-axonal Synthesis of SNAP25 Is Required for the Formation of Presynaptic Terminals.,2,include_contextual,"Localized protein synthesis is a mechanism for developing axons to react acutely and in a spatially restricted manner to extracellular signals. As such, it is important for many aspects of axonal development, but its role in the formation of presynapses remains poorly understood. We found that the induced assembly of presynaptic terminals required local protein synthesis. Newly synthesized proteins were detectable at nascent presynapses within 15 min of inducing synapse formation in isolated axons. The transcript for the t-SNARE protein SNAP25, which is required for the fusion of synaptic vesicles with the plasma membrane, was recruited to presynaptic sites and locally translated. Inhibition of intra-axonal SNAP25 synthesis affected the clustering of SNAP25 and other presynaptic proteins and interfered with the release of synaptic vesicles from presynaptic sites. This study reveals a critical role for the axonal synthesis of SNAP25 in the assembly of presynaptic terminals."
40855286,Wnt,neurodegeneration,Targeted neural stem cell-derived extracellular vesicles loaded with Sinomenine alleviate diabetic peripheral neuropathy via WNT5a/TRPV1 pathway modulation.,4,include_primary_high,"Diabetic peripheral neuropathy (DPN) is one of the most prevalent and debilitating complications of diabetes, marked by chronic neuroinflammation, immune dysregulation, and progressive neuronal degeneration. Current treatments offer limited efficacy, largely focusing on symptomatic relief rather than addressing the underlying disease mechanisms. There is a critical need for disease-modifying therapies that target the molecular basis of DPN. In this study, we developed a novel targeted nanotherapeutic system-ZH-1c-EVs@SIN-composed of neural stem cell-derived extracellular vesicles (NSC-EVs) modified with the ZH-1c aptamer and loaded with the anti-inflammatory compound sinomenine (SIN). This system was specifically designed to target microglia and inhibit the WNT5a/TRPV1 signaling pathway. Transcriptomic profiling of microglia revealed key gene networks implicated in DPN pathology and responsive to SIN treatment. Functional assays demonstrated that ZH-1c-EVs@SIN facilitated a shift in microglial phenotype from pro-inflammatory M1 to anti-inflammatory M2, significantly reduced inflammatory cytokine expression, and restored levels of neuronal regulatory proteins. Nanoparticle tracking analysis and transmission electron microscopy confirmed optimal vesicle size and morphology, while fluorescence imaging showed efficient uptake by microglia. In vivo studies in a murine model of DPN revealed marked improvements in pain-related behavior and histopathological signs of nerve damage. ZH-1c-EVs@SIN represents a promising therapeutic strategy for DPN, offering targeted immunomodulation and enhanced neural repair via regulation of the WNT5a/TRPV1 signaling axis. This nano-delivery platform introduces a novel and precise approach to intervening in diabetic neuropathy and may be applicable to other neuroinflammatory conditions."
29751779,Wnt,neurodegeneration,Essential role of ATP6AP2 enrichment in caveolae/lipid raft microdomains for the induction of neuronal differentiation of stem cells.,4,include_primary_high,"The subcellular distribution of prorenin receptor and adaptor protein ATP6AP2 may affect neurogenesis. In this study, we hypothesized that ATP6AP2 expression and subcellular relocalization from caveolae/lipid raft microdomains (CLR-Ms) to intracellular sites may correlate with neuronal differentiation (Neu-Dif) of adipose-derived mesenchymal stem cells (ADSCs). Human ADSCs isolated from 24 healthy donors and 24 patients with neurological disorders (ND) were cultured and induced for Neu-Dif. The mechanism of action of ATP6AP2 and the impact of its localization within the plasma membrane (particularly CLR-Ms) and intracellular sites on several pathways (mitogen-activated protein kinase, Wnt(s) signaling and others) and intracellular calcium and exosome release were evaluated. The impact of CLR-Ms on ATP6AP2 or vice versa was determined by pharmacological disruption of CLR-Ms or siATP6AP2 assays. In patients with ND, loss of ATP6AP2 from CLR-Ms correlated with an inhibition of Neu-Dif and signaling. However, its relocalization in CLR-Ms was positively correlated to induction of Neu-Dif in healthy subjects. An apparent switch from canonical to noncanonical Wnt signaling as well as from caveolin to flotillin occurs concurrently with the increases of ATP6AP2 expression during neurogenesis. Stimulation by renin activates ERK/JNK/CREB/c-Jun but failed to induce β-catenin. Wnt5a enhanced the renin-induced JNK responsiveness. Gα proteins crosslink ATP6AP2 to caveolin where a switch from Gαi to Gαq is necessary for Neu-Dif. In ATP6AP2-enriched CLR-Ms, the release of exosomes was induced dependently from the intracellular Ca This study gives evidence of the determinant role of CLR-M ATP6AP2 localization for neuronal and oligodendrocyte differentiation involving mechanisms of switches from Gαi/caveolin/canonical to Gαq/flotillin/PCP, the ERK/JNK pathway and Ca"
41622493,Wnt,neurodegeneration,Immune cells in cerebral small vessel disease: Emerging roles and potential targeting therapies.,4,include_primary_high,"Cerebral small vessel disease is an age-related condition that severely affects the quality of life of older adults; however, there are currently no definitive treatments or preventive measures. Cells from both the peripheral and central immune systems significantly impact the development of cerebral small vessel disease. By analyzing the effects of different immune cells on brain dysfunction associated with this disease, we aim to explore the various mechanisms through which autoimmune and acquired immune cells in peripheral circulation and the central nervous system contribute to disease development. Additionally, we seek to identify potential therapeutic modalities targeting these immune cells. In innate immunity, treatment targeting different monocyte loci includes four main modalities: cytokines (CSF1R, MIF, P2X7, CX3CR1, and CCL2), signaling pathways (DAP12/TREM, PI3K/AKT, and Wnt/β-catenin), tissue engineering (mitochondrial transplantation and exosomes), and traditional Chinese medicines. Treatment targeting different dendritic cell loci encompasses two modalities: signaling pathway (cGAS/STING/NF-κB) and tissue engineering (tolerogenic dendritic cells and engineered probiotics). For natural killer cells, treatment targeting different loci includes two modalities: tissue engineering (natural killer cell-based immunotherapies) and traditional Chinese medicines (Tongxinluo capsule). In adaptive immunity, treatment targeting different T cell loci includes four modalities: cytokines (S1PR and RXR), signaling pathway (Nrf2/GPX4 and Notch-ITGB1), tissue engineering (elimination of senescent T cells, monoclonal antibodies targeting amyloid-beta protofibrils, nanovaccines, and nanomedicines), and traditional Chinese medicines (traditional herbal remedies and microneedle therapy). Treatment targeting different B cell loci includes three modalities: monoclonal antibodies (targeting CD49d and CD20), purine glycoside analogs (Cladribine), and plasma exchange. This review explores the relationship between nerve regeneration, immune cells, and cerebral small vessel disease. The disease is characterized by the crucial role played by signaling and interactions between immune cells and components of the neurovascular unit, which is a functional complex composed of neurons, glial cells, and microvessels that regulate inflammatory responses and tissue repair. The central nervous system lacks intrinsic regenerative capacity, and currently, there is no effective method to fully restore its function. The primary focus of current research is on utilizing tissue engineering and regenerative medicine to create environments that facilitate cell proliferation and tissue regeneration. Hydrogels, induced pluripotent stem cells, exosomes, regulatory T cell transplants, and gene modification are key areas of focus in neural regeneration research. In the future, immune rejuvenation and other emerging therapies may offer potential treatment strategies for cerebral small vessel disease. This review analyzes the functions of various immune cells in cerebral small vessel disease, explores the relationship between nerve regeneration and these immune cells, and discusses potential therapeutic avenues that target immune cells for future treatments and neural regeneration related to cerebral small vessel disease."
