pathway,max_count,min_count,total_count,ratio_only_s0.5,ratio_x_logtotal_s0.5,ratio_x_donor_s0.5,ratio_x_maturity100_s0.5,ratio_only_s1.0,ratio_x_logtotal_s1.0,ratio_x_donor_s1.0,ratio_x_maturity100_s1.0,ratio_only_s2.0,ratio_x_logtotal_s2.0,ratio_x_donor_s2.0,ratio_x_maturity100_s2.0,rank__ratio_only_s0.5,rank__ratio_x_logtotal_s0.5,rank__ratio_x_donor_s0.5,rank__ratio_x_maturity100_s0.5,rank__ratio_only_s1.0,rank__ratio_x_logtotal_s1.0,rank__ratio_x_donor_s1.0,rank__ratio_x_maturity100_s1.0,rank__ratio_only_s2.0,rank__ratio_x_logtotal_s2.0,rank__ratio_x_donor_s2.0,rank__ratio_x_maturity100_s2.0
Integrin/Src,255,6,292,39.30769230769231,223.27447716982473,217.96812877915818,13.102564102564102,36.57142857142857,207.73202684405274,202.79506082668112,12.19047619047619,32.125,182.4755450646733,178.13882540390594,10.708333333333332,1,1,1,1,1,1,1,1,1,1,1,1
Autophagy,428,50,698,8.485148514851485,55.57475926826114,51.43236217347832,5.656765676567656,8.411764705882353,55.09412094937852,50.98754937686508,5.607843137254902,8.26923076923077,54.160573445394974,50.1235860603663,5.512820512820513,4,3,4,2,4,3,4,2,4,2,3,2
TGF-beta,143,12,172,11.48,59.15978750483451,57.05345667913249,3.8266666666666667,11.076923076923077,57.082614585206166,55.050239626072624,3.692307692307692,10.357142857142858,53.373377228727,51.47306631703715,3.4523809523809526,2,2,2,3,2,2,2,3,2,3,2,3
Wnt,201,20,258,9.829268292682928,54.61955387475399,52.17638736713868,3.2764227642276422,9.619047619047619,53.45139373634793,51.06047975595445,3.206349206349206,9.227272727272727,51.27436802386391,48.980833753292934,3.0757575757575752,3,4,3,4,3,4,3,4,3,4,4,4
Hypoxia/HIF-1,278,60,471,4.603305785123967,28.342456983232683,25.922189772516536,3.068870523415978,4.573770491803279,28.160608802924095,25.755870280789523,3.0491803278688523,4.516129032258065,27.805711547805736,25.431279014677138,3.010752688172043,8,6,6,5,8,6,6,5,7,6,7,5
mTOR,301,66,454,4.533834586466165,27.74841611749942,25.890131514865008,1.5112781954887216,4.507462686567164,27.58701224661473,25.73953670518225,1.5024875621890548,4.455882352941177,27.27132526385497,25.4449909744792,1.4852941176470589,9,7,7,6,9,7,7,6,9,7,6,6
Complement,71,17,146,4.085714285714285,20.38948171169598,17.473235857694167,0.0,4.0,19.961730347114944,17.10666447606422,0.0,3.8421052631578947,19.173767307097247,16.431401404640635,0.0,10,10,10,7,10,10,10,7,10,10,10,7
NF-kB,65,13,101,4.851851851851852,22.43968290889776,20.327584118720804,0.0,4.714285714285714,21.803443262625848,19.751229498124577,0.0,4.466666666666667,20.65821189933641,18.713791181051366,0.0,7,9,9,8,7,9,9,8,8,9,9,8
Notch,59,9,80,6.2631578947368425,27.52312891610633,25.64352646865421,0.0,6.0,26.366694928034633,24.5660673733326,0.0,5.545454545454546,24.369218039547164,22.70500166323165,0.0,6,8,8,9,6,8,8,9,6,8,8,9
Sphingolipid/Ceramide,90,13,142,6.703703703703703,33.26943992877938,30.239465580724065,0.0,6.5,32.25849009668939,29.320586792359524,0.0,6.133333333333334,30.43878039892743,27.666604973303347,0.0,5,5,5,10,5,5,5,10,5,5,5,10
