pathway,context,rank,total_hits_for_cell,pmid,title,pubdate,journal,doi,publication_types,is_primary,relevance_score,ev_hit,context_hit,pathway_hit,mechanistic_hit,screen_decision,abstract
mTOR,neurodegeneration,1,87,38433165,M2 Microglia-Derived Exosomes Protect Against Glutamate-Induced HT22 Cell Injury via Exosomal miR-124-3p.,2024 Oct,Molecular neurobiology,10.1007/s12035-024-04075-x,Journal Article,True,4,True,True,True,True,include_primary_high,"As one of the most serious complications of sepsis, sepsis-associated encephalopathy has not been effectively treated or prevented. Exosomes, as a new therapeutic method, play a protective role in neurodegenerative diseases, stroke and traumatic brain injury in recent years. The purpose of this study was to investigate the role of exosomes in glutamate (Glu)-induced neuronal injury, and to explore its mechanism, providing new ideas for the treatment of sepsis-associated encephalopathy. The neuron damage model induced by Glu was established, and its metabolomics was analyzed and identified. BV2 cells were induced to differentiate into M1 and M2 subtypes. After the exosomes from both M1-BV2 cells and M2-BV2 cells were collected, exosome morphological identification was performed by transmission electron microscopy and exosome-specific markers were also detected. These exosomes were then cocultured with HT22 cells. CCK-8 method and LDH kit were used to detect cell viability and toxicity. Cell apoptosis, mitochondrial membrane potential and ROS content were respectively detected by flow cytometry, JC-1 assay and DCFH-DA assay. MiR-124-3p expression level was detected by qRT-PCR and Western blot. Bioinformatics analysis and luciferase reporter assay predicted and verified the relationship between miR-124-3p and ROCK1 or ROCK2. Through metabolomics, 81 different metabolites were found, including fructose, GABA, 2, 4-diaminobutyric acid, etc. The enrichment analysis of differential metabolites showed that they were mainly enriched in glutathione metabolism, glycine and serine metabolism, and urea cycle. M2 microglia-derived exosomes could reduce the apoptosis, decrease the accumulation of ROS, restore the mitochondrial membrane potential and the anti-oxidative stress ability in HT22 cells induced by Glu. It was also found that the protective effect of miR-124-3p mimic on neurons was comparable to that of M2-EXOs. Additionally, M2-EXOs might carry miR-124-3p to target ROCK1 and ROCK2 in neurons, affecting ROCK/PTEN/AKT/mTOR signaling pathway, and then reducing Glu-induced neuronal apoptosis. M2 microglia-derived exosomes may protect HT22 cells against Glu-induced injury by transferring miR-124-3p into HT22 cells, with ROCK being a target gene for miR-124-3p."
mTOR,neurodegeneration,2,87,35935939,Therapeutic application of quercetin in aging-related diseases: SIRT1 as a potential mechanism.,2022,Frontiers in immunology,10.3389/fimmu.2022.943321,"Journal Article; Research Support, Non-U.S. Gov't; Review",False,1,False,False,False,True,exclude_low_relevance,"Quercetin, a naturally non-toxic flavonoid within the safe dose range with antioxidant, anti-apoptotic and anti-inflammatory properties, plays an important role in the treatment of aging-related diseases. Sirtuin 1 (SIRT1), a member of NAD"
mTOR,neurodegeneration,3,87,39089544,Lycium ruthenicum Murray derived exosome-like nanovesicles inhibit Aβ-induced apoptosis in PC12 cells via MAPK and PI3K/AKT signaling pathways.,2024 Oct,International journal of biological macromolecules,10.1016/j.ijbiomac.2024.134309,Journal Article,True,4,True,True,True,True,include_primary_high,"Plant-derived exosome-like nanovesicles (ELNs) are nano-sized vesicles extracted from edible plants. Lycium ruthenicum Murray (LRM) has been gaining increasing attention due to its nutritional and medicinal value, but the ELNs in LRM has not been reported. In this study, LRM-ELNs were obtained, and the proteins, lipids, microRNAs (miRNAs) and active components in LRM tissues and LRM-ELNs was analyzed by LC-MS/MS, LC-MS, high-throughput sequencing techniques, and physical and chemical analysis. LRM-ELNs can be uptaken by PC12 cells through macropinocytosis and caveolin-mediated endocytosis primarily. Transcriptomic and western blot experiments indicate that LRM-ELNs can inhibit Aβ-induced apoptosis in PC12 cells through the MAPK and PI3K/AKT signaling pathways, with miRNAs playing a crucial role. These results indicate that LRM-ELNs have the protection effect on PC12 cells and can be considered as dietary supplements for alleviating neurodegenerative diseases."
mTOR,neurodegeneration,4,87,38062843,1-L Transcription in Parkinson's Disease.,2023 Nov 23,Frontiers in bioscience (Landmark edition),10.31083/j.fbl2811292,"Journal Article; Research Support, Non-U.S. Gov't",True,3,False,True,True,True,include_primary_high,"As a chronic degenerative disorder of the central nervous system that affects both motor and non-motor systems, Parkinson's disease (PD) is very complex, and explanations and models are needed to better understand how dopaminergic neurons are affected and microglia are activated. A theoretical protein-RNA recognition code that assumes that the second letter in codons is compatible with specific amino acids involved in protein-RNA recognition was used to search for compatibility of human α-synuclein (α-syn) with mRNAs in the human transcriptome (1-L transcription). The 1-L transcription revealed compatible amino acid sequences with the ATTTA ARE (class I), PAS and polyA in α-syn, supporting a protein-RNA regulatory model. In PD, inflammatory microglia reactions, cognitive decline and motor circuit disturbances are observed. The model theoretically explains why α-syn producing neurons are less protected from inflammation and why microglia are activated. Consistent with knowledge of PD, the identified genes showed how the PI3K-AKT pathway is downregulated, how reactive oxygen species (ROS) production and sensitivity are increased, how mitochondria are destabilized, why autophagy is impaired, and why neuronal depigmentation is observed. 1-L transcription of α-syn leads to genes/proteins relevant to PD. When α-syn is accepted as a small RNA recognition protein involved in the post-transcriptional regulations, some identified genes indicate that its function is an important regulatory factor associated with intracellular and extracellular transport of RNA vesicles. These vesicles are extremely important in cellular communication. In addition, the spectrum of identified genes strongly indicates that α-syn produced by neuronal cells is required for proper regulation of inflammatory and immune responses."
mTOR,neurodegeneration,5,87,40019378,Accumulation of Damaging Lipids in the Arf1-Ablated Neurons Promotes Neurodegeneration through Releasing mtDNA and Activating Inflammatory Pathways in Microglia.,2025 Apr,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202414260,Journal Article,True,4,True,True,True,True,include_primary_high,"Lipid metabolism disorders in both neurons and glial cells have been found in neurodegenerative (ND) patients and animal models. However, the pathological connection between lipid droplets and NDs remains poorly understood. The recent work has highlighted the utility of a neuron-specific Arf1-knockout mouse model and corresponding cells for elucidating the nexus between lipid metabolism disorders and amyotrophic lateral sclerosis (ALS) and multiple sclerosis (MS). In this study, it is found that Arf1 deficiency first induced surplus fatty acid synthesis through the AKT-mTORC1-SREBP1-FASN axis, which further triggered endoplasmic reticulum (ER)-mitochondrial stress cascade via calcium flux. The organelle stress cascade further caused mitochondrial DNA (mtDNA) to be released into cytoplasm. Concurrently, the FASN-driven fatty acid synthesis in the Arf1-deficient neurons might also induce accumulation of sphingolipids in lysosomes that caused dysfunction of autophagy and lysosomes, which further promoted lysosomal stress and mitochondria-derived extracellular vesicles (MDEVs) release. The released MDEVs carried mtDNA into microglia to activate the inflammatory pathways and neurodegeneration. The studies on neuronal lipid droplets (LDs) and recent studies of microglial LDs suggest a unified pathological function of LDs in NDs: activating the inflammatory pathways in microglia. This finding potentially provides new therapeutic strategies for NDs."
mTOR,neurodegeneration,6,87,41076604,Exosome/Extracellular Vesicles-Based Therapeutics in Alzheimer's Disease: Neuroprotective Roles and Future Perspectives.,2025 Oct 12,Journal of molecular neuroscience : MN,10.1007/s12031-025-02432-6,Journal Article; Review,False,4,True,True,True,True,include_contextual,"Alzheimer's disease (AD), a progressive neurodegenerative disorder, is marked by memory loss, cognitive decline, and characteristic pathological features including β-amyloid (Aβ) plaques, tau tangles, and neuroinflammation. Despite extensive research, effective therapies remain elusive. Exosome/EVs-based therapeutics have emerged as a promising avenue for AD treatment. Neuron-derived exosomes/extracellular vesicles (EVs) (NDEs) and stem cell-derived exosomes/EVs exhibit neuroprotective effects by promoting Aβ degradation, modulating tau pathology, and reducing inflammation. Notably, NDEs carry insulin-degrading enzyme (IDE) and cellular prion proteins (PrPC), aiding Aβ clearance. However, exosomes also present challenges, such as the potential propagation of pathogenic tau and complement-mediated neurotoxicity. Neural and mesenchymal stem cell-derived exosomes further demonstrate therapeutic efficacy by altering amyloid precursor protein processing and activating PI3K/Akt/mTOR signaling to reduce AD pathology. Despite these advancements, clinical translation requires a deeper understanding of exosome/EVs biology, improved isolation techniques, and personalized strategies. Continued research may establish exosomes as a transformative approach in AD therapy."
mTOR,neurodegeneration,7,87,29434374,Reactive oxygen species regulate axonal regeneration through the release of exosomal NADPH oxidase 2 complexes into injured axons.,2018 Mar,Nature cell biology,10.1038/s41556-018-0039-x,"Journal Article; Research Support, Non-U.S. Gov't",True,4,True,True,True,True,include_primary_high,"Reactive oxygen species (ROS) contribute to tissue damage and remodelling mediated by the inflammatory response after injury. Here we show that ROS, which promote axonal dieback and degeneration after injury, are also required for axonal regeneration and functional recovery after spinal injury. We find that ROS production in the injured sciatic nerve and dorsal root ganglia requires CX3CR1-dependent recruitment of inflammatory cells. Next, exosomes containing functional NADPH oxidase 2 complexes are released from macrophages and incorporated into injured axons via endocytosis. Once in axonal endosomes, active NOX2 is retrogradely transported to the cell body through an importin-β1-dynein-dependent mechanism. Endosomal NOX2 oxidizes PTEN, which leads to its inactivation, thus stimulating PI3K-phosporylated (p-)Akt signalling and regenerative outgrowth. Challenging the view that ROS are exclusively involved in nerve degeneration, we propose a previously unrecognized role of ROS in mammalian axonal regeneration through a NOX2-PI3K-p-Akt signalling pathway."
mTOR,neurodegeneration,8,87,30612333,The Role of Ceramide and Sphingosine-1-Phosphate in Alzheimer's Disease and Other Neurodegenerative Disorders.,2019 Aug,Molecular neurobiology,10.1007/s12035-018-1448-3,Journal Article; Review,False,4,True,True,True,True,include_contextual,"Bioactive sphingolipids-ceramide, sphingosine, and their respective 1-phosphates (C1P and S1P)-are signaling molecules serving as intracellular second messengers. Moreover, S1P acts through G protein-coupled receptors in the plasma membrane. Accumulating evidence points to sphingolipids' engagement in brain aging and in neurodegenerative disorders such as Alzheimer's, Parkinson's, and Huntington's diseases and amyotrophic lateral sclerosis. Metabolic alterations observed in the course of neurodegeneration favor ceramide-dependent pro-apoptotic signaling, while the levels of the neuroprotective S1P are reduced. These trends are observed early in the diseases' development, suggesting causal relationship. Mechanistic evidence has shown links between altered ceramide/S1P rheostat and the production, secretion, and aggregation of amyloid β/α-synuclein as well as signaling pathways of critical importance for the pathomechanism of protein conformation diseases. Sphingolipids influence multiple aspects of Akt/protein kinase B signaling, a pathway that regulates metabolism, stress response, and Bcl-2 family proteins. The cross-talk between sphingolipids and transcription factors including NF-κB, FOXOs, and AP-1 may be also important for immune regulation and cell survival/death. Sphingolipids regulate exosomes and other secretion mechanisms that can contribute to either the spread of neurotoxic proteins between brain cells, or their clearance. Recent discoveries also suggest the importance of intracellular and exosomal pools of small regulatory RNAs in the creation of disturbed signaling environment in the diseased brain. The identified interactions of bioactive sphingolipids urge for their evaluation as potential therapeutic targets. Moreover, the early disturbances in sphingolipid metabolism may deliver easily accessible biomarkers of neurodegenerative disorders."
mTOR,neurodegeneration,9,87,36986865,The Exosome-Mediated PI3K/Akt/mTOR Signaling Pathway in Neurological Diseases.,2023 Mar 21,Pharmaceutics,10.3390/pharmaceutics15031006,Journal Article; Review,False,4,True,True,True,True,include_contextual,"As major public health concerns associated with a rapidly growing aging population, neurodegenerative diseases (NDDs) and neurological diseases are important causes of disability and mortality. Neurological diseases affect millions of people worldwide. Recent studies have indicated that apoptosis, inflammation, and oxidative stress are the main players of NDDs and have critical roles in neurodegenerative processes. During the aforementioned inflammatory/apoptotic/oxidative stress procedures, the phosphoinositide 3-kinase (PI3K)/protein kinase B (Akt)/mammalian target of rapamycin (mTOR) pathway plays a crucial role. Considering the functional and structural aspects of the blood-brain barrier, drug delivery to the central nervous system is relatively challenging. Exosomes are nanoscale membrane-bound carriers that can be secreted by cells and carry several cargoes, including proteins, nucleic acids, lipids, and metabolites. Exosomes significantly take part in the intercellular communications due to their specific features including low immunogenicity, flexibility, and great tissue/cell penetration capabilities. Due to their ability to cross the blood-brain barrier, these nano-sized structures have been introduced as proper vehicles for central nervous system drug delivery by multiple studies. In the present systematic review, we highlight the potential therapeutic effects of exosomes in the context of NDDs and neurological diseases by targeting the PI3K/Akt/mTOR signaling pathway."
mTOR,neurodegeneration,10,87,25307053,Extracellular vesicles including exosomes are mediators of signal transduction: are they protective or pathogenic?,2015 Jan,Proteomics,10.1002/pmic.201400234,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review",False,4,True,True,True,True,include_contextual,"Extracellular vesicles (EVs) are signaling organelles that are released by many cell types and is highly conserved in both prokaryotes and eukaryotes. Based on the mechanism of biogenesis, these membranous vesicles can be classified as exosomes, shedding microvesicles, and apoptotic blebs. It is becoming clearer that these EVs mediate signal transduction in both autocrine and paracrine fashion by the transfer of proteins and RNA. While the role of EVs including exosomes in pathogenesis is well established, very little is known about their function in normal physiological conditions. Recent evidences allude that EVs can mediate both protective and pathogenic effects depending on the precise state. In this review, we discuss the involvement of EVs as mediators of signal transduction in neurodegenerative diseases and cancer. In addition, the role of EVs in mediating Wnt and PI3K signaling pathways is also discussed. Additional findings on the involvement of EVs in homeostasis and disease progression will promote a better biological understanding, advance future therapeutic, and diagnostic applications."
